date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
09/03/2024,"4 ROUNDS","- RX -4 rounds for reps:1:00 plank hold1:00 single-DB box step-ups (20/24 in) (35/50 lb)1:00 deadlifts (155/225 lb)- No rest between rounds.- INTERMEDIATE -4 rounds for reps:1:00 plank hold1:00 single-DB box step-ups (20/24 in) (20/35 lb)1:00 deadlifts (105/155 lb)- No rest between rounds.- BEGINNER -4 rounds for reps:1:00 plank hold1:00 unweighted box step-ups (12/20 in)1:00 deadlifts (65/95 lb)- No rest between rounds.",208,"208","Reps","","[{""reps"":208}]","",RX,
09/05/2024,"ROW & PUSH","- RX -For time:500-m row20 pike push-ups (20/24 in)500-m row35 hand-release push-ups500-m row50 push-ups500-m row- INTERMEDIATE -For time:500-m row20 pike push-ups (floor)500-m row25 hand-release push-ups500-m row30 push-ups500-m row- BEGINNER -For time:400-m row15 DB shoulder presses (15/20 lb)400-m row20 hand-release push-ups from the knees400-m row25 push-ups from the knees400-m row",1016,"16:56","","","[{""secs"":56,""mins"":16}]","",RX,
09/06/2024,"3 RM HANG POWER SNATCH","On a 10:00 clock:3 hang power snatches- Build to a heavy set of 3 reps.",95,"95","Load","Hang Power Snatch","[{""success"":true,""load"":95}]","",RX,
09/06/2024,"SNATCH, CLIMB, & RUN","- RX -3 rounds for time:10 hang power snatches (65/95 lb)2 rope climbs200-m run- INTERMEDIATE -3 rounds for time:10 hang power snatches (55/75 lb)2 partial rope climbs200-m run- BEGINNER -3 rounds for time:10 hang power snatches (35/45 lb)4 pull-to-stands100-m run",467,"7:47","","","[{""secs"":47,""mins"":7}]","50# dumbbell",SCALED,
09/09/2024,"THROW & SIT UP","- RX -2 rounds for time:50 wall-ball shots (14/20 lb) (9/10 ft)50 sit-ups- INTERMEDIATE -2 rounds for time:50 wall-ball shots (10/14 lb) (9/10 ft)35 sit-ups- BEGINNER -2 rounds for time:25 wall-ball shots (6/10 lb) (9/10 ft)25 sit-ups",633,"10:33","","","[{""secs"":33,""mins"":10}]","16#",SCALED,
09/11/2024,"NATE","- RX -AMRAP 20:2 muscle-ups4 handstand push-ups8 KB swings (53/70 lb)- INTERMEDIATE - AMRAP 20:2 burpee jumping pull up4 pike handstand push-ups from a box8 KB swings (35/53 lb)- BEGINNER -AMRAP 8:150-m row2 burpee jumping pull up4 hand-elevated push-ups8 KB swings (18/26 lb)Rest 4:00AMRAP 8:150-m row2 burpee jumping pull up4 hand-elevated push-ups8 KB swings (18/26 lb)",8,"8","Rounds + Reps","","[{""rnds"":8}]","",RX,
09/12/2024,"RUN & MACHINE","- RX -On a 10:00 clock:1,600-m runMax calories on any machine in the remaining time- INTERMEDIATE -On a 10:00 clock:1,200-m runMax calories on any machine in the remaining time- BEGINNER -On a 10:00 clock:800-m runMax calories on any machine in the remaining time",39,"39","Calories","","[{""calories"":39}]","Bike6:47 mile",RX,
09/13/2024,"HANG POWER CLEAN, THRUSTERS, & BURPEES","- RX -3 rounds for time:9 hang power cleans (75/115 lb)12 thrusters15 burpees over the bar- INTERMEDIATE -3 rounds for time:9 hang power cleans (55/75 lb)12 thrusters15 burpees over the bar- BEGINNER -3 rounds for time:6 hang power cleans (35/45 lb)9 thrusters12 burpees over the bar",626,"10:26","","","[{""secs"":26,""mins"":10}]","95#",SCALED,
09/13/2024,"Skill Work","EMOM 8:1 clean pull1 hang power clean1 thruster- Build in load, but only as quality mechanics allow.",145,"145","Load","","[{""success"":true,""load"":145}]","",RX,
09/16/2024,"ROW & DEADLIFT","- RX -AMRAP 10:15-calorie row10 deadlifts (125/185 lb)- INTERMEDIATE -AMRAP 10:15-calorie row10 deadlifts (95/135 lb)- BEGINNER -AMRAP 10:10-calorie row10 deadlifts (55/75 lb)",5.015,"5+15","Rounds + Reps","","[{""rnds"":5,""reps"":15}]","",RX,
09/16/2024,"4RM BACK RACK REVERSE LUNGES","10:00 to build to heavy 4RM back rack reverse lunge",145,"145","Load","Back Rack Lunges","[{""success"":true,""load"":145}]","",RX,
09/17/2024,"BENCH PRESSES","- RX -For load:10-10-10-10-10Bench press- INTERMEDIATE -Same as Rxd- BEGINNER -With a light load:10-10-10-10-10Bench press",135,"135","Load","Bench Press","[{""success"":true,""load"":0},{""success"":true},{""success"":true},{""success"":true,""load"":0},{""success"":true,""load"":135}]","",RX,
09/18/2024,"RUSSIAN SWINGS & RUNS","- RX -5 rounds for time:20 Russian KB swings (53/70 lb)400-m run- INTERMEDIATE -5 rounds for time:20 Russian KB swings (35/53 lb)400-m run- BEGINNER -5 rounds for time:10 Russian KB swings (18/26 lb)200-m run",813,"13:33","","","[{""secs"":33,""mins"":13}]","",RX,
09/19/2024,"DU & HANDSTAND WALKS","- RX -Every 3:00 for 5 rounds:50 double-undersHandstand walk (25 ft)- Rest remainder of each round.- Score is slowest round.- INTERMEDIATE -Every 3:00 for 5 rounds:25 double-unders20 handstand shoulder taps- Rest remainder of each round.- Score is slowest round.- BEGINNER -Every 3:00 for 5 rounds:20 single-unders10 pike shoulder taps- Rest remainder of each round.- Score is slowest round.",180,"3:00","","","[{""mins"":3}]","",RX,
09/20/2024,"CLEANS & SIDE BURPEES","- RX -18-15-12-9-6-3 reps for time:Squat cleans (95/135 lb)Lateral burpees over the bar- INTERMEDIATE -18-15-12-9-6-3 reps for time:Squat cleans (65/95 lb)Lateral burpees over the bar- BEGINNER -12-10-8-6-4-2 reps for time:Hang squat cleans (35/45 lb)Lateral up-down bar step-overs",999,"16:39","","","[{""secs"":39,""mins"":16}]","75#",SCALED,
09/23/2024,"Skill Work","4 sets::20 med-ball Russian twist:10 rest:20 flutter kicks:10 rest",100,"100","Reps","","[{""reps"":100}]","",RX,
09/23/2024,"SHOTS & DUBS","- RX -As many rounds and reps as possible in 7 minutes of:5 wall-ball shots (14/20 lb) (9/10 ft)15 double-unders- After each completed round, add 5 wall-ball shots and 15 double-unders.- INTERMEDIATE -As many rounds and reps as possible in 7 minutes of:5 wall-ball shots (10/14 lb) (9/10 ft):15 double-under attempts- After each completed round, add 5 wall-ball shots and :15 of double-under attempts.- BEGINNER -As many rounds and reps as possible in 7 minutes of:5 wall-ball shots (10/14 lb) (8/9 ft)15 single-unders- After each completed round, add 5 wall-ball shots and 15 single-unders.",4.054,"4+54","Rounds + Reps","","[{""rnds"":4,""reps"":54}]","",RX,
09/24/2024,"ALL THE PULL-UPS","- RX -Every 3:00 for 5 sets:200-m run7 pull-ups5 chest-to-bar pull-ups3 bar muscle-ups- INTERMEDIATE -Every 3:00 for 5 sets:200-m run5 pull-ups3 chest-to-bar pull-ups1 bar muscle-up- BEGINNER -Every 3:00 for 5 sets:200-m run7 australian pull ups5 jumping pull-ups3 burpee pull up",150,"2:30","","","[{""secs"":30,""mins"":2}]","",RX,
09/25/2024,"WALL WALKING FARMER","- RX -10 rounds for time:100-m double-KB farmers carry (35/53 lb)3 wall walks - INTERMEDIATE -10 rounds for time:100-m double-KB farmers carry (26/35 lb)2 wall walks - BEGINNER -10 rounds for time:50-m double-KB farmers carry (18/26 lb)3 inchworm + push-ups",1301,"21:41","","","[{""secs"":41,""mins"":21}]","",RX,
09/27/2024,"STATIONS","- RX -2:00 at each station for 5 rounds:A) :30 max-reps toes-to-barsB) :30 max-reps overhead squats (95/135 lb)C) :30 max-cal row - INTERMEDIATE -2:00 at each station for 5 rounds:A) :30 max-reps toes-to-barsB) :30 max-reps overhead squats (75/115 lb)C) :30 max-cal row - BEGINNER -2:00 at each station for 5 rounds:A) :30 max-reps hanging leg raisesB) :30 max-reps overhead squats (35/45 lb)C) :30 max-cal row",181,"181","Reps","","[{""reps"":181}]","95#",SCALED,
09/28/2024,"20 MIN PARTNERS","- RX -AMRAP 20 with a partner:30 front-rack reverse lunges (65/95 lb)20 push presses10 bar muscle-ups- Share work as desired. - INTERMEDIATE -AMRAP 20 with a partner:30 front-rack reverse lunges (45/65 lb)20 push presses10 jumping bar muscle-ups- Share work as desired. - BEGINNER -AMRAP 20 with a partner:30 unweighted reverse lunges20 push presses (35/45 lb)10 jumping pull-ups- Share work as desired.",5.02,"5+20","Rounds + Reps","","[{""rnds"":5,""reps"":20}]","75#Partnered with Dash 💨",SCALED,
10/01/2024,"Sober October","“I chose sober because I wanted a better life. I stay sober because I got one.” ~ AnonymousBe sober and move today!To join our sober community download the FREE Phoenix app... https://thephoenix.org/app",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
10/01/2024,"GYMNASTY WITH BIKE","- RX -4 rounds for time:10 single-leg squats20 pull-ups30 push-ups0.6mi bike- INTERMEDIATE -4 rounds for time:10 ankle-wrapped single-leg squats15 pull-ups20 push-ups0.6mi bike- BEGINNER -4 rounds for time:10 reverse lunges10 australian pull ups10 push-ups, from the knees as needed0.6mi bike",1417,"23:37","","","[{""secs"":37,""mins"":23}]","Ankle wrap single leg squats",SCALED,
10/03/2024,"AMRAP 15","- RX -AMRAP 15:200-m run10 handstand push-ups15 wall-ball shots (14/20 lb) (9/10 ft)- INTERMEDIATE -AMRAP 15:200-m run5 pike handstand push-ups10 wall-ball shots (14/20 lb) (9/10 ft)- BEGINNER -AMRAP 15:200-m run6 dumbbell push presses (15/20 lb)9 wall-ball shots (10/14 lb) (8/9 ft)",3.01,"3+10","Rounds + Reps","","[{""rnds"":3,""reps"":10}]","",RX,
10/07/2024,"LOREDO","- RX -6 rounds for time:24 air squats24 push-ups24 walking lunge steps400-m run- INTERMEDIATE -6 rounds for time:18 squats18 push-ups18 walking lunge steps400-m run- BEGINNER -4 rounds for time:14 squats14 push-ups from the knees14 walking lunge steps400-m run",1593,"26:33","","","[{""secs"":33,""mins"":26}]","",RX,PR
10/10/2024,"HELEN","- RX -3 rounds for time:400-m run21 KB swings (35/53 lb)12 pull-ups- INTERMEDIATE -3 rounds for time:400-m run21 KB swings (26/44 lb)6 pull-ups- BEGINNER -3 rounds for time:200-m run21 KB swings to eye level (18/26 lb)12 ring rows",640,"10:40","","","[{""secs"":40,""mins"":10}]","",RX,
10/14/2024,"Handstand Hold: Max Time","Handstand Hold: Max Time",70,"1:10","","","[{""secs"":10,""mins"":1}]","",RX,
10/14/2024,"Double Unders: 2 Minute Test","Maximum double-unders in 2 minutes.",130,"130","Reps","","[{""reps"":130}]","",RX,
10/14/2024,"Box Jump: Max Height","Box Jump: Max Height",49.5,"49.5","Inches","","[{""inches"":49.5}]","",RX,
10/14/2024,"YOUR CHOICE","- RX -Conditioning challenge:20:00 to establish max meters on a machine of your choice.- INTERMEDIATE -Same as Rx’d- BEGINNER -Same as Rx’d",11298,"11298","Meters","","[{""meters"":11298}]","Bike",RX,PR
10/14/2024,"Broad Jump: Max Distance","Broad Jump: Max Distance",98,"98","Inches","","[{""inches"":98}]","",RX,
10/14/2024,"Handstand Walk: Max Distance","Handstand Walk: Max Distance",0.6,"0.6","Meters","","[{""meters"":0.6000000238418579}]","",RX,
10/15/2024,"Shoulder Press 1x1","1 RM Shoulder Press",120,"120","Load","Shoulder Press","[{""success"":true,""load"":120}]","",RX,
10/15/2024,"Back Squat 1x1","1 RM Back Squat",215,"215","Load","Back Squat","[{""success"":true,""load"":215}]","",RX,
10/15/2024,"CROSSFIT TOTAL","- RX -For load:1-rep-max back squat1-rep-max shoulder press1-rep-max deadlift- INTERMEDIATE -Same as Rxd- BEGINNER -For completion:3-3-3 back squat3-3-3 shoulder press3-3-3 deadlift",660,"660","Load","","[{""success"":true,""load"":660}]","",RX,PR
10/15/2024,"Deadlift 1x1","1 RM Deadlift",325,"325","Load","Deadlift","[{""success"":true,""load"":325}]","",RX,
10/16/2024,"ANNIE","50-40-30-20-10 reps for time of:• Double-Unders• Sit-ups",613,"10:13","","","[{""secs"":13,""mins"":10}]","",RX,
10/21/2024,"HORSE SHOE","- RX -AMRAP 10:6 front squats (105/155 lb)9 push ups- INTERMEDIATE -AMRAP 10:6 front squats (75/115 lb)9 knee push ups- BEGINNER -AMRAP 10:6 front squats (35/45 lb)9 elevated push ups",7.002,"7+2","Rounds + Reps","","[{""rnds"":7,""reps"":2}]","125#",SCALED,
10/22/2024,"HURRY UP & REST","- RX -6 sets:On a 1:30 clock::45 max-calorie row:15 transition:30 toes-to-bars - Rest 3:00 between intervals.- INTERMEDIATE -6 sets:On a 1:30 clock::45 max-calorie row- Rest :15.:30 max-reps toes-to-bars- Rest 3:00 between intervals.- BEGINNER -6 sets:On a 1:30 clock::45 max-calorie row- Rest :15.:30 knees raises- Rest 3:00 between intervals.",172,"172","Reps","","[{""reps"":172}]","",RX,
10/23/2024,"HOLD PLEASE","- RX -4 rounds10/15-cal bike:30 accumulated dead hang hold10/15-cal bike:30 accumulated handstand hold10/15-cal bike:30 accumulated ring support hold- INTERMEDIATE -4 rounds for time:8/12-cal bike:30 accumulated dead hang hold8/12-cal bike:30 accumulated handstand hold8/12-cal bike:30 accumulated ring support hold- BEGINNER -4 rounds for time:6/9-cal bike:15 accumulated toe-assisted dead hang hold6/9-cal bike:15 accumulated pike hold6/9-cal bike:15 accumulated toe-assisted ring support hold",0,"🪼","Other / Text","","[{""other"":""🪼""}]","",SCALED,
10/24/2024,"WHY THOUGH?","- RX -AMRAP 20:0010 Suitcase KB reverse lunges (53/70 lb)10 Pull Ups10 Burpee box jumps (24/30 in)- Use one kettlebell.- INTERMEDIATE -AMRAP 20:0010 Suitcase KB reverse lunges (35/53 lb)10 Toe Assist Pull Ups10 Burpee box jumps (20/24 in)- Use one kettlebell.- BEGINNER -AMRAP 15:0010 Suitcase KB reverse lunge (26/35 lb)10 Ring Rows10 Burpee box step-ups (12/20 in)- Use one kettlebell.",7.004,"7+4","Rounds + Reps","","[{""rnds"":7,""reps"":4}]","",RX,
10/25/2024,"PUSHY GWEN","- RX -15-12-9 reps for load:Push press- INTERMEDIATE -15-12-9 reps for load:Push press- BEGINNER -15-12-9 reps for load:Push press",135,"135","Load","Push Press","[{""success"":true,""load"":65},{""success"":true,""load"":95},{""success"":true,""load"":135}]","",RX,
10/28/2024,"DEVIL STEPS","- RX -For time:30 DB devils presses (35/50 lb)50 DB step-ups (12 in)- Use 2 dumbbells.- INTERMEDIATE -For time:30 DB devils presses (20/35 lb)50 DB step-ups (12 in)- Use 2 dumbbells.- BEGINNER -For time:20 burpees30 DB step-ups (12 in) (15/25 lb)- Use 2 dumbbells.",555,"9:15","","","[{""secs"":15,""mins"":9}]","40#",SCALED,
10/30/2024,"ROWING INTERVALS","- RX -5 rounds for distance::20 row- Rest :40.:30 row- Rest :30.:40 row- Rest :20.:50 row- Rest :10.1:00 row- Rest 1:00.- INTERMEDIATE -Same as Rxd- BEGINNER -5 rounds at an easy pace::20 row- Rest :40.:30 row- Rest :30.:40 row- Rest :20.:50 row- Rest :10.1:00 row- Rest 1:00.",4811,"4811","Meters","","[{""meters"":4811}]","",RX,
10/31/2024,"TEAM HALLOWEEN","For Time (with a Partner)75 Pumpkin Cleans50 Pumpkin Box Jumps (20 in)100 Pumpkin Deadlifts50 Pumpkin Push Presses (14/20)75 Lateral Pumpkin Jumps* 5 burpee penalty (both partners) each time the ""pumpkin"" touches the groundUse a medicine ball (20/14 lb) as your pumpkin",843,"14:03","","","[{""secs"":3,""mins"":14}]","Partnered with the bird 🐦‍⬛",RX,
10/31/2024,"Sober October","“Our greatest glory is not in never failing, but in rising up every time we fail.” — Ralph Waldo EmersonBe sober and move today!To join our sober community download the FREE Phoenix app... https://thephoenix.org/app",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
11/01/2024,"Metcon","Complete as many rounds and reps as possible in 10 minutes of:5 front squats10 ring dips♀ 125 lb♂ 185 lb",5,"5","Rounds + Reps","","[{""rnds"":5}]","125#",SCALED,
11/04/2024,"RACK ATTACK","- RX -AMRAP 15:Double-KB front-rack carry (50 m) (35/53 lb)10 burpees to target (12 in)- INTERMEDIATE -AMRAP 15:Double-KB front-rack carry (50 m) (26/35 lb)10 burpees to target (6 in)- BEGINNER -AMRAP 15:Single-KB goblet carry (50 m) (18/26 lb)10 burpees",7,"7","Rounds + Reps","","[{""rnds"":7}]","",RX,
11/05/2024,"RUN, SNATCH, PUSH","- RX -4 rounds for reps:1:00 shuttle runs1:00 alternating DB snatches (35/50 lb)1:00 hand-release push-ups1:00 calories on any machine1:00 rest- INTERMEDIATE -4 rounds for reps:1:00 shuttle runs1:00 alternating DB snatches (20/35 lb)1:00 hand-release push-ups1:00 calories on any machine1:00 rest- BEGINNER -4 rounds for reps:1:00 shuttle runs1:00 alternating DB snatches (10/15 lb)1:00 push-ups from the knees1:00 calories on any machine1:00 rest",237,"237","Reps","","[{""reps"":237}]","",RX,
11/06/2024,"LOTSA SQUATS & PRESS","- RX -Every 4:00 for 5 sets:40 air squats4 shoulder presses- INTERMEDIATE -Every 4:00 for 5 sets:25 air squats4 shoulder presses- BEGINNER -Every 4:00 for 5 sets:10 air squats4 shoulder presses",105,"105","Load","","[{""success"":true,""load"":105}]","",RX,
11/08/2024,"Skill Work","Pre-workout:Every 2:00 for 5 sets:3 sumo deadlift2 sumo deadlift + shrug1 sumo deadlift high pull- Build in load if the technique is sound.",115,"115","Load","","[{""success"":true,""load"":115}]","",RX,
11/08/2024,"LIFT & HANG","- RX -For time:50 deadlifts (65/95 lb)50 sumo deadlift high pulls- Every minute including the start, complete 7 knees-to-elbows.- INTERMEDIATE -For time:50 deadlifts (55/75 lb)50 sumo deadlift high pulls- Every minute including the start, complete 7 knees-to-armpits.- BEGINNER -For time:30 deadlifts (35/45 lb)30 sumo deadlift high pulls- Every minute including the start, complete 5 hanging knee raises.",595,"9:55","","","[{""secs"":55,""mins"":9}]","",RX,
11/09/2024,"PARTNER BADGER","- RX -3 rounds for time with a partner:30 squat cleans (65/95 lb)30 pull-ups800-m run- Athletes run together and break up the cleans and pull-ups as needed.- INTERMEDIATE -3 rounds for time with a partner:30 squat cleans (45/65 lb)30 pull-ups800-m run- Athletes run together and break up the cleans and pull-ups as needed.- BEGINNER -3 rounds for time with a partner:30 squat cleans (35/45 lb)30 jumping pull-ups600-m run- Athletes run together and break up the cleans and pull-ups as needed.",1626,"27:06","","","[{""secs"":6,""mins"":27}]","75#Partnered with Chandler",SCALED,
11/11/2024,"CHAD","For Time:• 1,000 Box Step-Ups (20 in)Wear a Ruck Pack (45/35 lb)",3056,"50:56","","","[{""secs"":56,""mins"":50}]","No weight",SCALED,
11/12/2024,"Nancy","- RX -5 rounds for time:400-m run15 overhead squats (65/95 lb)- INTERMEDIATE -5 rounds for time:400-m run15 overhead squats (55/75 lb)- BEGINNER -4 rounds for time:300-m run15 overhead squats (35/45 lb)",827,"13:47","","","[{""secs"":47,""mins"":13}]","75#",SCALED,PR
11/13/2024,"3RM DEADLIFT","- RX -For load:3-3-3-3-3Deadlift- INTERMEDIATE -Same as Rxd- BEGINNER -For load:5-5-5-5-5Deadlift",325,"325","Load","Deadlift","[{""success"":true,""load"":225},{""success"":true,""load"":275},{""success"":true,""load"":305},{""success"":true,""load"":315},{""success"":true,""load"":325}]","",RX,PR
11/15/2024,"TRIPLE THREAT","- RX -21-15-9 reps for time of:Toes-to-barsBurpeesWall-ball shots (14/20 lb) (9/10 ft)- INTERMEDIATE -21-15-9 reps for time of:Knees-to-armpitsBurpeesWall-ball shots (10/14 lb) (9/10 ft)- BEGINNER -15-12-9 reps for time of:Hanging leg raisesBurpeesWall-ball shots (6/10 lb) (9/10 ft)",484,"8:04","","","[{""secs"":4,""mins"":8}]","",RX,
11/16/2024,"AFF 1-IN-5 ROWATHON","In team of 5 row a 10k for teen mental health",2220,"37:00","","","[{""mins"":37}]","",RX,
11/18/2024,"SO MUCH","- RX -For max reps:AMRAP 5:50 air squatsMax chest-to-bar pull-upsAMRAP 3:30 box step-ups (20/24 in)Max toes-to-barsAMRAP 1:Max-distance row- 10 m = 1 rep.- INTERMEDIATE -For max reps:AMRAP 5:50 air squatsMax chin-over-bar pull-upsAMRAP 3:30 box step-ups (20/24 in)Max kipping knee raisesAMRAP 1:Max-distance row- 10 m = 1 rep.- BEGINNER -For max reps:AMRAP 5:30 air squatsMax ring rowsAMRAP 3:20 box step-ups (20 in)Max hanging knee raisesAMRAP 1:Max-distance row- 10 m = 1 rep.",87,"87","Reps","","[{""reps"":87}]","",RX,
11/19/2024,"DOUBLE UNDER MACHINE","- RX -AMRAP 12:25/36 cal on any machine72 double-unders- INTERMEDIATE -AMRAP 12:20/28 cal on any machine50 double-unders- BEGINNER -AMRAP 12:12/17 cal on any machine50 single-unders",3.001,"3+1","Rounds + Reps","","[{""rnds"":3,""reps"":1}]","🐌 ",RX,
11/19/2024,"Skill Work","4 sets:10 good mornings- Start light and build in load as quality mechanics allow.",45,"45","Load","","[{""success"":true,""load"":45}]","",RX,
11/20/2024,"UP & JUMP","- RX -5 rounds for time:5 ring muscle-ups10 box jumps (20/24 in)20 AbMat sit-ups- INTERMEDIATE -5 rounds for time:2 ring muscle-ups10 box jumps (20/24 in)20 AbMat sit-ups- BEGINNER -5 rounds for time:5 low ring muscle-up transitions10 box step-ups (12/20 in)10 AbMat sit-ups",780,"13:00","","","[{""mins"":13}]","3 ring muscle upsOnly got to 4 rounds",SCALED,
11/22/2024,"CLEAN THRUST","- RX -Every 3:00 x 7 sets:2 power cleans2 thrusters- Increase loading across as many sets as possible.- INTERMEDIATE -Same as Rxd- BEGINNER -Same as Rxd",160,"160","Load","","[{""success"":true,""load"":160}]","",RX,
11/23/2024,"PARTNER FUN","- RX -For time with a partner:100 walking overhead plate lunges (25/45 lb)75 burpees to a plate1:00 accumulated hang from a pull-up bar1,000-m weighted run together (25/45 lb)1:00 accumulated hang from a pull-up bar75 burpees to a plate100 walking overhead plate lunges (25/45 lb)- One partner works on the hangs, burpees, and overhead lunges, while the other rests.- Run together with one partner carrying one plate at a time.- INTERMEDIATE -For time with a partner:100 walking overhead plate lunges (15/25 lb)75 burpees to a plate1:00 accumulated hang from a pull-up bar1,000-m weighted run together (15/25 lb)1:00 accumulated hang from a pull-up bar75 burpees to a plate100 walking overhead plate lunges (15/25 lb)- One partner works on the hangs, burpees, and overhead lunges, while the other rests.- Run together with one partner carrying one plate at a time.- BEGINNER -For time with a partner:50 walking overhead plate lunges (10/15 lb)40 burpees to a plate:40 accumulated hang from a pull-up bar800-m weighted run together (10/15 lb):40 accumulated hang from a pull-up bar40 burpees to a plate50 walking overhead plate lunges (10/15 lb)- One partner works on the hangs, burpees, and overhead lunges, while the other rests.- Run together with one partner carrying one plate at a time.",1504,"25:04","","","[{""secs"":4,""mins"":25}]","Partnered with Josh and Chris",RX,
11/25/2024,"DOUBLES & DEADLIFTS","- RX -10 rounds for time:30 double-unders3 deadlifts (205/315 lb)- INTERMEDIATE -10 rounds for time:20 double-unders3 deadlifts (155/225 lb)- BEGINNER -10 rounds for time:20 single-unders3 deadlifts (65/95 lb)",597,"9:57","","","[{""secs"":57,""mins"":9}]","280#",SCALED,
11/25/2024,"Skill Work","EMOM 9:1 deadliftBuild over sets",345,"345","Load","Deadlift","[{""success"":true},{""success"":true},{""success"":true},{""success"":true},{""success"":true},{""success"":true},{""success"":true},{""success"":true,""load"":335},{""success"":true,""load"":345}]","",RX,
11/26/2024,"5RM OH SQUAT","- RX -For load:5-5-5-5-5Overhead squat- INTERMEDIATE -Same as Rxd- BEGINNER -Same as Rxd",145,"145","Load","Overhead Squat","[{""success"":true},{""success"":true},{""success"":true},{""success"":true},{""success"":true,""load"":145}]","",RX,PR
11/27/2024,"HANDSTANDS & RUNNING","- RX -5 rounds for time:200-m run (45 sec)10 strict handstand push-ups- INTERMEDIATE -5 rounds for time:200-m run10 pike push-ups- BEGINNER -5 rounds for time:200-m run10 seated DB presses (15/25 lb)",627,"10:27","","","[{""secs"":27,""mins"":10}]","5 HSPU",SCALED,
11/28/2024,"COFFLAND","- RX - Hang from a pull-up bar for 6 minutesEach time you drop from the bar, perform:•800-m run •30 push-upsTime Cap 40:00- INTERMEDIATE - Hang from a pull-up bar for 6 minutesEach time you drop from the bar, perform:•800-m run•20 push-upsTime Cap 40:00- BEGINNER -Hang from a pull-up bar for 4 minutesEach time you drop from the bar, perform:•400-m run•15 push-ups from the kneesTime Cap 40:00",780,"13:00","","","[{""mins"":13}]","",RX,PR
11/29/2024,"FIVE BY FIVE","- RX -Every 5:00 for 5 rounds:10 pull-ups50 double-unders10 single DB push jerks (35/50 lb)50 ft KB front-rack lunges (50 ft) (53/70 lb)- Rest with the remaining time in the intervals.Score is slowest round- INTERMEDIATE -Every 5:00 for 5 rounds:10 pull-ups25 double-unders10 single DB push jerks (35/50 lb)50 ft KB front-rack lunges (50 ft) (44/53 lb)- Rest with the remaining time in the intervals.- BEGINNER -Every 5:00 for 5 rounds:10 jumping pull-ups50 single-unders10 single DB push jerks (35/50 lb)50 ft KB front-rack lunges (50 ft) (35/44 lb)- Rest with the remaining time in the intervals.",150,"2:30","","","[{""secs"":30,""mins"":2}]","",RX,
11/30/2024,"THE LONG ROW","- RX -AMRAP 20 with a partner:Row for calories- Switch as needed.- INTERMEDIATE -Same as Rxd- BEGINNER -Same as Rxd",325,"325","Calories","","[{""calories"":325}]","",RX,
12/02/2024,"DIANE","- RX -For time:21-15-9Deadlifts (155/225 lb)Handstand push-ups- INTERMEDIATE -For time:21-15-9Deadlifts (125/185 lb)12-9-6Handstand push-ups- BEGINNER -For time:15-12-9Deadlifts (55/75 lb)Dumbbell shoulder press (15/20 lb)",652,"10:52","","","[{""secs"":52,""mins"":10}]","",RX,
12/03/2024,"HELEN","- RX -3 rounds for time:400-m run (2:00)21 KB swings (35/53 lb)12 pull-ups- INTERMEDIATE -3 rounds for time:400-m run21 Russian KB swings (35/53 lb)6 pull-ups- BEGINNER -3 rounds for time:200-m run15 KB swings (18/26 lb)12 jumping pull ups",587,"9:47","","","[{""secs"":47,""mins"":9}]","",RX,PR
12/04/2024,"Skill Work","Accumulate:50 alternating wall-facing handstand shoulder tapsOr…Handstand walk (150 ft)",0,"🪿","Other / Text","","[{""other"":""🪿""}]","",RX,
12/04/2024,"BURPEES & DUBS","- RX -For time:50 burpees200 double-unders50 burpees- INTERMEDIATE -For time:40 burpees80 double-unders40 burpees- BEGINNER -For time:25 burpees100 single-unders25 burpees",756,"12:36","","","[{""secs"":36,""mins"":12}]","",RX,
12/09/2024,"HEAVY GRACE","- RX -For time:30 clean and jerks (155/225 lb)- INTERMEDIATE -For time:30 clean and jerks (105/155 lb)- BEGINNER -For time:30 clean and jerks (55/75 lb)- 10:00 JUST MOVE - 5 clean and jerks 5 cal bike",779,"12:59","","","[{""secs"":59,""mins"":12}]","155#",SCALED,
12/10/2024,"PUSH YOUR TOES","- RX -3 rounds for time: 15 push presses (95/135 lb)15 toes-to-bars- INTERMEDIATE -3 rounds for time: 15 push presses (65/95 lb)15 knees-to-armpits- BEGINNER -3 rounds for time: 10 push presses (35/45 lb)10 hanging leg raises- 6:00 JUST MOVE - 10 push presses 10 toes to bar",348,"5:48","","","[{""secs"":48,""mins"":5}]","95#",SCALED,
12/11/2024,"SNATCH & SQUAT","- RX -21-15-9 reps for time: Hang power snatches (65/95 lb)Overhead squats- INTERMEDIATE -21-15-9 reps for time: Hang power snatches (45/65 lb)Overhead squats- BEGINNER -21-15-9 reps for time: Hang power snatches (35/45 lb)Overhead squats- 6:00 JUST MOVE - 10 Hang Power Snatches 10 Overhead Squats",720,"12:00","","","[{""mins"":12}]","",RX,
